domain,code,enhanced,text,count
comcast.net,550,5.1.1,<{{to}}> recipient unallocated,16
comcast.net,550,5.1.1,Not our Customer,474
comcast.net,550,5.2.0,"<{{to}}> - Account Closed, Please Remove",6
comcast.net,554,,"resimta-a1p-087336.sys.comcast.net resimta-a1p-087336.sys.comcast.net {{ip4addr}} found on one or more DNSBLs, see https://postmaster.comcast.net/smtp-error-codes.php#BL000001",4
comcast.net,554,,"resimta-a1p-087336.sys.comcast.net resimta-a1p-087336.sys.comcast.net {{ip4addr}} found on one or more DNSBLs, see https://postmaster.comcast.net/smtp-error-codes.php#BL000011",5
comcast.net,554,,"resimta-a1p-087336.sys.comcast.net resimta-a1p-087336.sys.comcast.net {{ip4addr}} found on one or more DNSBLs, see https://postmaster.comcast.net/smtp-error-codes.php#BL000100",82
gmail.com,421,4.3.0,Temporary System Problem. Try again later (3). {{google_uuid}} - gsmtp,17
gmail.com,421,4.3.0,Temporary System Problem. Try again later (8). {{google_uuid}} - gsmtp,2
gmail.com,450,4.2.1,"The user you are trying to contact is receiving mail at a rate that prevents additional messages from being delivered. Please resend your message at a later time. If the user is able to receive mail at that time, your message will be delivered. For more information, please visit https://support.google.com/mail/?p=ReceivingRate {{google_uuid}} - gsmtp",26
gmail.com,451,4.3.0,Mail server temporarily rejected message. {{google_uuid}} - gsmtp,54
gmail.com,452,4.2.2,The email account that you tried to reach is over quota. Please direct the recipient to https://support.google.com/mail/?p=OverQuotaTemp {{google_uuid}} - gsmtp,4441946
gmail.com,550,5.1.1,The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. Learn more at https://support.google.com/mail/?p=NoSuchUser {{google_uuid}} - gsmtp,23299
gmail.com,550,5.2.1,The email account that you tried to reach is disabled. Learn more at https://support.google.com/mail/?p=DisabledUser {{google_uuid}} - gsmtp,467
gmail.com,550,5.2.1,"The user you are trying to contact is receiving mail at a rate that prevents additional messages from being delivered. For more information, please visit https://support.google.com/mail/?p=ReceivingRatePerm {{google_uuid}} - gsmtp",2
gmail.com,550,5.7.1,"[{{ip4addr}} 12] Our system has detected that this message is likely unsolicited mail. To reduce the amount of spam sent to Gmail, this message has been blocked. Please visit https://support.google.com/mail/?p=UnsolicitedMessageError for more information. {{google_uuid}} - gsmtp",2728
gmail.com,550,5.7.1,"[{{ip4addr}} 18] Our system has detected that this message is likely suspicious due to the very low reputation of the sending IP address. To best protect our users from spam, the message has been blocked. Please visit https://support.google.com/mail/answer/188131 for more information. {{google_uuid}} - gsmtp",8261
gmail.com,550,5.7.1,"[{{ip4addr}} 19] Our system has detected that this message is likely suspicious due to the very low reputation of the sending domain. To best protect our users from spam, the message has been blocked. Please visit https://support.google.com/mail/answer/188131 for more information. {{google_uuid}} - gsmtp",105176
gmail.com,550,5.7.25,"[{{ip4addr}}] The IP address sending this message does not have a PTR record setup, or the corresponding forward DNS entry does not point to the sending IP. As a policy, Gmail does not accept messages from IPs with missing PTR records. Please visit https://support.google.com/mail/answer/81126#ip-practices for more information. {{google_uuid}} - gsmtp",6
gmail.com,552,5.2.2,The email account that you tried to reach is over quota and inactive. Please direct the recipient to https://support.google.com/mail/?p=OverQuotaPerm {{google_uuid}} - gsmtp,2856
gmail.com,553,5.1.3,The recipient address <{{to}} > is not a valid RFC-5321 address. Learn more at https://support.google.com/mail/answer/6596 {{google_uuid}} - gsmtp,2
gmail.com,553,5.1.3,The recipient address <{{to}}> is not a valid RFC-5321 address. Learn more at https://support.google.com/mail/answer/6596 {{google_uuid}} - gsmtp,87
gmail.com,555,5.5.2,Syntax error. {{google_uuid}} - gsmtp,2
yahoo.com.br,421,,[IPTS04] Messages from {{ip4addr}} temporarily deferred due to unexpected volume or user complaints - {{ip4addr}}; see https://postmaster.yahooinc.com/error-codes,9
